Langname, Vorname, Klasse, Beginndatum, Beginnzeit, Enddatum, Endzeit, Abwesenheitsgrund
Haase, Mike, ZHN 02, 30.08.2023, 08:00, 30.08.2023, 17:00, K
Haase, Mike, ZHN 02, 04.09.2023, 08:00, 04.09.2023, 09:30, K
Haase, Mike, ZHN 02, 21.09.2023, 08:00, 21.09.2023, 09:30, P
Haase, Mike, ZHN 02, 11.10.2023, 09:45, 11.10.2023, 17:00, K
Haase, Mike, ZHN 02, 12.10.2023, 08:00, 12.10.2023, 08:06, V
Haase, Mike, ZHN 02, 12.10.2023, 09:45, 12.10.2023, 17:00, K
Giraffe, Max, ZHN 02, 07.09.2023, 08:00, 07.09.2023, 08:05, V
Giraffe, Max, ZHN 02, 14.09.2023, 08:00, 14.09.2023, 08:05, V
Giraffe, Max, ZHN 02, 19.09.2023, 08:00, 19.09.2023, 08:02, V
Giraffe, Max, ZHN 02, 20.09.2023, 08:00, 20.09.2023, 17:00, A
Giraffe, Max, ZHN 02, 21.09.2023, 08:00, 21.09.2023, 09:30, P
Giraffe, Max, ZHN 02, 28.09.2023, 08:00, 29.09.2023, 17:00, A
Giraffe, Max, ZHN 02, 11.10.2023, 09:45, 11.10.2023, 17:00, N
Giraffe, Max, ZHN 02, 08.11.2023, 08:00, 08.11.2023, 17:00, P
Giraffe, Max, ZHN 02, 09.11.2023, 08:00, 09.11.2023, 08:02, V
Löwe, Lisa, ZHN 02, 06.09.2023, 08:00, 06.09.2023, 08:19, V
Löwe, Lisa, ZHN 02, 07.09.2023, 08:00, 07.09.2023, 08:05, V
Löwe, Lisa, ZHN 02, 14.09.2023, 08:00, 14.09.2023, 11:15, N
Löwe, Lisa, ZHN 02, 15.09.2023, 08:00, 15.09.2023, 17:00, N
Löwe, Lisa, ZHN 02, 18.09.2023, 08:00, 18.09.2023, 08:53, V
Löwe, Lisa, ZHN 02, 19.09.2023, 08:00, 19.09.2023, 08:02, V
Löwe, Lisa, ZHN 02, 25.09.2023, 08:00, 25.09.2023, 08:07, V
Löwe, Lisa, ZHN 02, 26.09.2023, 09:45, 26.09.2023, 10:00, V
Löwe, Lisa, ZHN 02, 27.09.2023, 08:00, 27.09.2023, 08:05, V
