ID,Langname - Vorname,Klasse,Beginndatum,Beginnzeit,Enddatum,Endzeit,Abwesenheitsgrund,Status
haase_mike,Haase - Mike,ZHN 02,30.08.2023,08:00,30.08.2023,17:00,K,entsch.
haase_mike,Haase - Mike,ZHN 02,04.09.2023,08:00,04.09.2023,09:30,K,entsch.
haase_mike,Haase - Mike,ZHN 02,21.09.2023,08:00,21.09.2023,09:30,P,entsch.
haase_mike,Haase - Mike,ZHN 02,11.10.2023,09:45,11.10.2023,17:00,K,entsch.
haase_mike,Haase - Mike,ZHN 02,12.10.2023,08:00,12.10.2023,08:06,V,nicht entsch.
haase_mike,Haase - Mike,ZHN 02,12.10.2023,09:45,12.10.2023,17:00,K,entsch.
giraffe_max,Giraffe - Max,ZHN 02,07.09.2023,08:00,07.09.2023,08:05,V,nicht entsch.
giraffe_max,Giraffe - Max,ZHN 02,14.09.2023,08:00,14.09.2023,08:05,V,nicht entsch.
giraffe_max,Giraffe - Max,ZHN 02,19.09.2023,08:00,19.09.2023,08:02,V,nicht entsch.
giraffe_max,Giraffe - Max,ZHN 02,20.09.2023,08:00,20.09.2023,17:00,A,entsch.
giraffe_max,Giraffe - Max,ZHN 02,21.09.2023,08:00,21.09.2023,09:30,P,entsch.
giraffe_max,Giraffe - Max,ZHN 02,28.09.2023,08:00,29.09.2023,17:00,A,entsch.
giraffe_max,Giraffe - Max,ZHN 02,11.10.2023,09:45,11.10.2023,17:00,N,nicht entsch.
giraffe_max,Giraffe - Max,ZHN 02,08.11.2023,08:00,08.11.2023,17:00,P,entsch.
giraffe_max,Giraffe - Max,ZHN 02,09.11.2023,08:00,09.11.2023,08:02,V,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,06.09.2023,08:00,06.09.2023,08:19,V,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,07.09.2023,08:00,07.09.2023,08:05,V,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,14.09.2023,08:00,14.09.2023,11:15,N,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,15.09.2023,08:00,15.09.2023,17:00,N,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,18.09.2023,08:00,18.09.2023,08:53,V,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,19.09.2023,08:00,19.09.2023,08:02,V,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,25.09.2023,08:00,25.09.2023,08:07,V,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,26.09.2023,09:45,26.09.2023,10:00,V,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,27.09.2023,08:00,27.09.2023,08:05,V,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,28.09.2023,08:00,29.09.2023,17:00,A,entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,04.10.2023,08:00,04.10.2023,09:30,N,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,05.10.2023,08:00,05.10.2023,09:50,A,entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,09.10.2023,08:00,09.10.2023,17:00,A,entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,16.10.2023,08:00,16.10.2023,08:07,V,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,17.10.2023,08:00,17.10.2023,08:03,V,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,18.10.2023,08:00,18.10.2023,11:15,N,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,19.10.2023,08:00,19.10.2023,18:30,A,entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,20.10.2023,08:00,20.10.2023,09:30,N,nicht entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,09.11.2023,08:00,10.11.2023,17:00,A,entsch.
loewe_lisa,Löwe - Lisa,ZHN 02,14.11.2023,08:05,14.11.2023,09:30,N,nicht entsch.
