Langname	Vorname	ID	Klasse	Beginndatum	Beginnzeit	Enddatum	Endzeit	Unterbrechungen	Abwesenheitsgrund	Text/Grund	Entschuldigungsnummer	Status	Entschuldigungstext	gemeldet von Schüler*in
Haase	Mike	haase_mike	ZHN 02	30.08.2023	08:00	30.08.2023	17:00		K	Krankenhaustermin 29.08.2023, 14:54	309510	entsch.		false
Haase	Mike	haase_mike	ZHN 02	04.09.2023	08:00	04.09.2023	09:30		K	07:35	310298	entsch.		false
Haase	Mike	haase_mike	ZHN 02	21.09.2023	08:00	21.09.2023	09:30		P	Arzttermin Nachweis liegt vor	315717	entsch.		false
Haase	Mike	haase_mike	ZHN 02	11.10.2023	09:45	11.10.2023	17:00		K	Termin Charite, pers.	320977	entsch.		false
Haase	Mike	haase_mike	ZHN 02	12.10.2023	08:00	12.10.2023	08:06		V	S-Bahn Ausfall	321162	nicht entsch.		false
Haase	Mike	haase_mike	ZHN 02	12.10.2023	09:45	12.10.2023	17:00		K	Termin a. d. CHARITÉ	321400	entsch.		false
Giraffe	Max	giraffe_max	ZHN 02	07.09.2023	08:00	07.09.2023	08:05		V		311349	nicht entsch.		false
Giraffe	Max	giraffe_max	ZHN 02	14.09.2023	08:00	14.09.2023	08:05		V		313540	nicht entsch.		false
Giraffe	Max	giraffe_max	ZHN 02	19.09.2023	08:00	19.09.2023	08:02		V		314716	nicht entsch.		false
Giraffe	Max	giraffe_max	ZHN 02	20.09.2023	08:00	20.09.2023	17:00		A	19.09.	315155	entsch.		false
Giraffe	Max	giraffe_max	ZHN 02	21.09.2023	08:00	21.09.2023	09:30		P	Arzttermin Nachweis liegt vor	315720	entsch.		false
Giraffe	Max	giraffe_max	ZHN 02	28.09.2023	08:00	29.09.2023	17:00		A	27.09.	317917	entsch.		false
Giraffe	Max	giraffe_max	ZHN 02	11.10.2023	09:45	11.10.2023	17:00		N		320979	nicht entsch.		false
Giraffe	Max	giraffe_max	ZHN 02	08.11.2023	08:00	08.11.2023	17:00		P	Termin bei der irakischen Botschaft	325257	entsch.		false
Giraffe	Max	giraffe_max	ZHN 02	09.11.2023	08:00	09.11.2023	08:02		V		325655	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	06.09.2023	08:00	06.09.2023	08:19		V		311212	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	07.09.2023	08:00	07.09.2023	08:05		V		311341	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	14.09.2023	08:00	14.09.2023	11:15		N		313538	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	15.09.2023	08:00	15.09.2023	17:00		N		313983	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	18.09.2023	08:00	18.09.2023	08:53		V		314308	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	19.09.2023	08:00	19.09.2023	08:02		V		314726	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	25.09.2023	08:00	25.09.2023	08:07		V		316482	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	26.09.2023	09:45	26.09.2023	10:00		V		316929	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	27.09.2023	08:00	27.09.2023	08:05		V		317131	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	28.09.2023	08:00	29.09.2023	17:00		A	00:42	317518	entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	04.10.2023	08:00	04.10.2023	09:30		N		318579	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	05.10.2023	08:00	05.10.2023	09:50		A		318926	entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	09.10.2023	08:00	09.10.2023	17:00		A	11:07	319769	entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	16.10.2023	08:00	16.10.2023	08:07		V		322045	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	17.10.2023	08:00	17.10.2023	08:03		V		322524	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	18.10.2023	08:00	18.10.2023	11:15		N		323213	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	19.10.2023	08:00	19.10.2023	18:30		A	04.11.2023, 20:49	323911	entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	20.10.2023	08:00	20.10.2023	09:30		N		324030	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	09.11.2023	08:00	10.11.2023	17:00		A	13.11.	325654	entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	14.11.2023	08:05	14.11.2023	09:30		N		326873	nicht entsch.		false
Löwe	Lisa	loewe_lisa	ZHN 02	15.11.2023	08:00	15.11.2023	17:00		N		327312	nicht entsch.		false
Ameise	Gina	ameise_gina	ZHN 02	18.10.2023	08:00	19.10.2023	17:00		A		322933	entsch.		false
Ameise	Gina	ameise_gina	ZHN 02	14.11.2023	08:00	14.11.2023	08:10		N		327104	nicht entsch.		false
Ameisenbär	Francois	ameisenbaer_francois	ZHN 02	07.09.2023	08:00	07.09.2023	08:19		V		311358	nicht entsch.		false
Ameisenbär	Francois	ameisenbaer_francois	ZHN 02	12.09.2023	08:00	12.09.2023	08:05		N		312771	nicht entsch.		false
Ameisenbär	Francois	ameisenbaer_francois	ZHN 02	14.09.2023	08:00	14.09.2023	09:30		N		313543	nicht entsch.		false
Ameisenbär	Francois	ameisenbaer_francois	ZHN 02	21.09.2023	13:30	21.09.2023	15:00		K	abgemeldet wegen starker Kopfschmerzen	315995	entsch.		false
Ameisenbär	Francois	ameisenbaer_francois	ZHN 02	25.09.2023	13:30	25.09.2023	17:00		N		316687	nicht entsch.		false
Ameisenbär	Francois	ameisenbaer_francois	ZHN 02	29.09.2023	08:00	29.09.2023	17:00		K	7:13	317922	entsch.		false
Ameisenbär	Francois	ameisenbaer_francois	ZHN 02	05.10.2023	08:00	05.10.2023	08:08		V		318933	nicht entsch.		false
Ameisenbär	Francois	ameisenbaer_francois	ZHN 02	10.10.2023	13:30	10.10.2023	17:00		N		320545	nicht entsch.		false
Ameisenbär	Francois	ameisenbaer_francois	ZHN 02	12.10.2023	08:00	13.10.2023	17:00		A	06:47	321176	entsch.		false
Ameisenbär	Francois	ameisenbaer_francois	ZHN 02	20.10.2023	08:00	20.10.2023	17:00		K		324029	entsch.		false
Tiger	Karl	Tiger_Karl	ZHN 02	30.08.2023	09:45	04.09.2023	08:00		A		309633	entsch.		false
Tiger	Karl	Tiger_Karl	ZHN 02	13.09.2023	08:00	13.09.2023	08:06		V		313028	nicht entsch.		false
Tiger	Karl	Tiger_Karl	ZHN 02	29.09.2023	13:30	29.09.2023	15:00		K	Schüler hat sich um 13:05 Uhr um Sekretariat abgemeldet	318293	entsch.		false
Geier	Carolina	Geier_Carolina	ZHN 02	31.08.2023	08:00	31.08.2023	18:30		A	30.08.2023, 21:06	309701	entsch.		false
Geier	Carolina	Geier_Carolina	ZHN 02	04.09.2023	08:00	04.09.2023	08:16		V		310317	nicht entsch.		false
Geier	Carolina	Geier_Carolina	ZHN 02	18.09.2023	08:00	18.09.2023	08:34		V		314313	nicht entsch.		false
Geier	Carolina	Geier_Carolina	ZHN 02	19.09.2023	13:30	19.09.2023	15:00		P	Aussage bei der Kripo	315115	entsch.		false
Geier	Carolina	Geier_Carolina	ZHN 02	25.09.2023	08:00	25.09.2023	17:00		A	6:18	316424	entsch.		false
Geier	Carolina	Geier_Carolina	ZHN 02	26.09.2023	09:45	26.09.2023	09:57		V	Polizeieinsatz	316934	nicht entsch.		false
Geier	Carolina	Geier_Carolina	ZHN 02	18.10.2023	08:00	18.10.2023	17:00		A		322935	entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	28.08.2023	08:00	30.08.2023	18:30		A		309518	entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	31.08.2023	08:00	31.08.2023	08:06		V		309730	nicht entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	05.09.2023	08:00	05.09.2023	09:30		P		310695	entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	06.09.2023	08:00	06.09.2023	17:00		A		311136	entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	07.09.2023	08:00	07.09.2023	09:30		K	07:28	311374	entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	11.09.2023	08:00	11.09.2023	17:00		A	E-Mail am 10.09.	312211	entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	21.09.2023	08:00	21.09.2023	09:30		K		315733	entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	29.09.2023	08:00	29.09.2023	17:00		A	6:10	317933	entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	05.10.2023	08:00	05.10.2023	08:07		V		318939	nicht entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	06.10.2023	13:30	06.10.2023	15:00		P	Beratungstermin (Bestätigung liegt vor)	319703	entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	10.10.2023	08:00	10.10.2023	17:00		A	Do 12.10. um 00:57 Uhr	320389	entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	11.10.2023	09:45	12.10.2023	17:00		A	00:57	320988	entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	18.10.2023	08:00	19.10.2023	17:00		A		323209	entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	20.10.2023	08:00	20.10.2023	09:30		N		324028	nicht entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	06.11.2023	08:00	06.11.2023	17:00		N		324406	nicht entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	07.11.2023	09:45	07.11.2023	17:00		N		324997	nicht entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	08.11.2023	08:00	08.11.2023	17:00		N		325266	nicht entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	09.11.2023	08:00	09.11.2023	08:10		V		325656	nicht entsch.		false
Ratte	Gustav	ratte_gustav	ZHN 02	14.11.2023	08:00	14.11.2023	09:30		N		326876	nicht entsch.		false
Esel	Mustafa	Esel_Mustafa	ZHN 02	28.08.2023	08:00	30.08.2023	17:00		K		309316	entsch.		false
Esel	Mustafa	Esel_Mustafa	ZHN 02	31.08.2023	08:00	31.08.2023	17:00		N		312047	nicht entsch.		false
Esel	Mustafa	Esel_Mustafa	ZHN 02	01.09.2023	08:00	01.09.2023	17:00		A		312048	entsch.		false
Esel	Mustafa	Esel_Mustafa	ZHN 02	07.09.2023	08:00	07.09.2023	08:19		V		311376	nicht entsch.		false
Esel	Mustafa	Esel_Mustafa	ZHN 02	13.09.2023	08:00	13.09.2023	08:05		V		313042	nicht entsch.		false
Esel	Mustafa	Esel_Mustafa	ZHN 02	15.09.2023	08:00	15.09.2023	17:00		A		314206	entsch.		false
Esel	Mustafa	Esel_Mustafa	ZHN 02	21.09.2023	11:35	21.09.2023	15:00		A	Hat sich krank angemeldet und geht zum Arzt	315971	entsch.		false
Esel	Mustafa	Esel_Mustafa	ZHN 02	22.09.2023	12:30	22.09.2023	12:35		N		316350	nicht entsch.		false
Esel	Mustafa	Esel_Mustafa	ZHN 02	09.10.2023	08:00	09.10.2023	17:00		A	Di 10.10. um 11:54	319782	entsch.		false
Esel	Mustafa	Esel_Mustafa	ZHN 02	11.10.2023	09:45	11.10.2023	17:00		N		320991	nicht entsch.		false
Esel	Mustafa	Esel_Mustafa	ZHN 02	13.10.2023	08:00	13.10.2023	17:00		A		321961	entsch.		false
Esel	Mustafa	Esel_Mustafa	ZHN 02	06.11.2023	08:00	06.11.2023	11:15		A	eingegangen am 09.11.	324407	entsch.		false
Esel	Mustafa	Esel_Mustafa	ZHN 02	15.11.2023	08:00	15.11.2023	17:00		N		327311	nicht entsch.		false
Krokodil	Tamara	Krokodil_Tamara	ZHN 02	31.08.2023	08:00	31.08.2023	18:30		A	30.08.2023, 20:38	309732	entsch.		false
Krokodil	Tamara	Krokodil_Tamara	ZHN 02	04.09.2023	08:00	04.09.2023	08:16		V		310325	nicht entsch.		false
